Scan started at 15:00:19 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.524168	-367.86	557.028	-23.2564	10.4658	0.742755	1.14829	0.0346972	
0.52916	-367.803	556.859	-23.5597	10.5636	0.758531	1.16933	0.0352699	
0.534153	-367.916	556.951	-23.4192	10.6614	0.701432	1.08325	0.0335194	
0.539145	-367.981	557.117	-23.1118	10.7592	0.768003	1.18705	0.0349687	
0.544137	-367.857	557.031	-23.2484	10.857	0.66343	1.02283	0.0326336	
0.549129	-367.791	556.875	-23.5478	10.9549	0.778804	1.20364	0.0342629	
0.554121	-367.924	556.966	-23.4168	11.0527	0.622434	0.962151	0.0327659	
0.559113	-367.984	557.124	-23.1173	11.1505	0.786043	1.21286	0.0329384	
0.564105	-367.86	557.028	-23.2462	11.2483	0.589693	0.908965	0.0318508	
0.569097	-367.803	556.863	-23.5506	11.3461	0.788685	1.21971	0.0328544	
0.574089	-367.918	556.957	-23.4105	11.4439	0.556213	0.856842	0.030831	
0.579081	-367.975	557.119	-23.104	11.5417	0.79347	1.2252	0.0324449	
0.584073	-367.859	557.037	-23.2508	11.6395	0.523921	0.807933	0.0303746	
0.589065	-367.804	556.879	-23.5591	11.7373	0.791478	1.22367	0.033289	
0.594058	-367.925	556.958	-23.416	11.8352	0.502478	0.771015	0.0292862	
0.59905	-367.984	557.115	-23.1133	11.933	0.788978	1.21942	0.0308704	
0.604042	-367.866	557.029	-23.2477	12.0308	0.476492	0.733872	0.0296367	
0.609034	-367.803	556.862	-23.5482	12.1286	0.783517	1.2105	0.0314086	
0.614026	-367.917	556.946	-23.4149	12.2264	0.463793	0.712275	0.0286793	
0.619018	-367.978	557.113	-23.1149	12.3242	0.774669	1.19773	0.0304949	
0.62401	-367.86	557.031	-23.249	12.422	0.448261	0.690023	0.0287284	
0.629002	-367.8	556.873	-23.5449	12.5198	0.766111	1.18285	0.0307101	
