Scan started at 15:02:45 30/09/2014
Time (s)	x (nT)	y (nT)	z (nT)	Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.893582	-367.607	556.993	-23.5183	17.7038	0.555669	0.811268	0.0339707	
0.898574	-367.522	556.859	-23.7225	17.8016	0.412602	0.571812	0.0330835	
0.903566	-367.79	557.034	-23.4	17.8994	0.539385	0.786963	0.0335589	
0.908559	-367.874	557.171	-23.192	17.9973	0.421597	0.588272	0.0325421	
0.913551	-367.603	556.99	-23.5162	18.0951	0.522874	0.760886	0.0329985	
0.918543	-367.525	556.854	-23.7236	18.1929	0.430728	0.605997	0.0325527	
0.923535	-367.79	557.034	-23.4041	18.2907	0.505926	0.733393	0.0323615	
0.928527	-367.874	557.168	-23.1977	18.3885	0.440848	0.624299	0.0318774	
0.933519	-367.609	556.983	-23.5162	18.4863	0.487045	0.704363	0.0321689	
0.938511	-367.522	556.851	-23.7216	18.5841	0.45069	0.642563	0.0317111	
0.943503	-367.79	557.039	-23.4031	18.6819	0.469681	0.674792	0.0320386	
0.948495	-367.874	557.171	-23.1998	18.7797	0.459921	0.659321	0.0314472	
0.953487	-367.602	556.989	-23.5233	18.8776	0.450748	0.645163	0.0313707	
0.958479	-367.521	556.856	-23.727	18.9754	0.469049	0.675625	0.0315784	
0.963471	-367.8	557.04	-23.4041	19.0732	0.432274	0.614711	0.0308754	
0.968463	-367.881	557.174	-23.2016	19.171	0.478026	0.690411	0.0315355	
0.973456	-367.61	556.987	-23.5206	19.2688	0.413959	0.584594	0.0308392	
0.978448	-367.532	556.847	-23.7196	19.3666	0.484413	0.703144	0.0312145	
0.98344	-367.798	557.028	-23.4	19.4644	0.396884	0.556693	0.0303932	
0.988432	-367.874	557.172	-23.1966	19.5622	0.49104	0.714006	0.0307481	
0.993424	-367.603	556.994	-23.5153	19.66	0.380804	0.529146	0.0300429	
0.998416	-367.527	556.862	-23.733	19.7579	0.494972	0.722187	0.030498	
1.00341	-367.787	557.047	-23.4225	19.8557	0.365424	0.50427	0.0297825	
1.0084	-367.855	557.176	-23.2055	19.9535	0.498877	0.728896	0.0301962	
1.01339	-367.597	556.989	-23.5144	20.0513	0.352207	0.482038	0.0292379	
1.01838	-367.525	556.855	-23.7187	20.1491	0.500419	0.732061	0.0296952	
1.02338	-367.792	557.037	-23.409	20.2469	0.340304	0.462642	0.0290853	
1.02837	-367.872	557.174	-23.2041	20.3447	0.500589	0.73403	0.0295343	
1.03336	-367.607	556.994	-23.5128	20.4425	0.331438	0.447915	0.0287544	
1.03835	-367.532	556.858	-23.7255	20.5403	0.499485	0.732484	0.0291173	
1.04334	-367.799	557.042	-23.4183	20.6382	0.324494	0.436147	0.0287298	
1.04834	-367.873	557.178	-23.2082	20.736	0.49693	0.72887	0.0288715	
1.05333	-367.604	556.993	-23.5136	20.8338	0.319507	0.429293	0.0283681	
1.05832	-367.531	556.849	-23.7142	20.9316	0.492888	0.722963	0.0290943	
1.06331	-367.798	557.031	-23.3966	21.0294	0.317312	0.427155	0.0279309	
1.06831	-367.872	557.178	-23.1915	21.1272	0.48706	0.714188	0.0287725	
1.0733	-367.61	557.001	-23.5096	21.225	0.317424	0.428841	0.0279874	
1.07829	-367.537	556.859	-23.7255	21.3228	0.479712	0.703363	0.0280869	
1.08328	-367.794	557.034	-23.4229	21.4206	0.32015	0.434558	0.0278619	
1.08827	-367.872	557.173	-23.2103	21.5185	0.471519	0.690193	0.027786	
1.09327	-367.618	556.994	-23.5061	21.6163	0.324649	0.443202	0.027206	
1.09826	-367.531	556.86	-23.7081	21.7141	0.461859	0.674936	0.0277045	
1.10325	-367.788	557.041	-23.4041	21.8119	0.330159	0.455208	0.0272624	
1.10824	-367.867	557.174	-23.1951	21.9097	0.450545	0.658094	0.0275972	
1.11323	-367.601	556.994	-23.5065	22.0075	0.337813	0.468452	0.0265681	
1.11823	-367.522	556.856	-23.7298	22.1053	0.43925	0.639105	0.0275187	
1.12322	-367.783	557.034	-23.421	22.2031	0.345613	0.483557	0.0264971	
1.12821	-367.862	557.171	-23.2015	22.301	0.426174	0.618884	0.0270688	
1.1332	-367.602	556.996	-23.5017	22.3988	0.354183	0.499406	0.0266569	
1.13819	-367.526	556.856	-23.7108	22.4966	0.413163	0.597334	0.026638	
1.14319	-367.79	557.031	-23.4071	22.5944	0.363493	0.515191	0.0265117	
1.14818	-367.864	557.172	-23.2001	22.6922	0.398935	0.574536	0.0262204	
1.15317	-367.596	556.992	-23.5129	22.79	0.371864	0.530843	0.0263166	
1.15816	-367.517	556.848	-23.73	22.8878	0.384431	0.55166	0.0262871	
1.16315	-367.789	557.029	-23.4253	22.9856	0.381059	0.545882	0.0258949	
1.16815	-367.871	557.169	-23.2108	23.0834	0.370039	0.527577	0.026294	
1.17314	-367.607	556.983	-23.505	23.1813	0.388832	0.560174	0.0258064	
1.17813	-367.532	556.845	-23.7067	23.2791	0.354881	0.50374	0.02606	
1.18312	-367.792	557.039	-23.4095	23.3769	0.396236	0.573146	0.0258772	
1.18812	-367.869	557.182	-23.2022	23.4747	0.341082	0.480889	0.0254236	
1.19311	-367.602	556.993	-23.5006	23.5725	0.403005	0.584584	0.0256322	
1.1981	-367.527	556.848	-23.7202	23.6703	0.32718	0.457577	0.0249982	
1.20309	-367.794	557.026	-23.4286	23.7681	0.408121	0.594228	0.0253127	
1.20808	-367.867	557.176	-23.2158	23.8659	0.31411	0.436512	0.0251276	
1.21308	-367.611	557.002	-23.5093	23.9637	0.412855	0.602255	0.0251146	
1.21807	-367.546	556.856	-23.7137	24.0616	0.30259	0.416668	0.0249913	
1.22306	-367.804	557.034	-23.415	24.1594	0.415948	0.60796	0.0247719	
1.22805	-367.87	557.175	-23.2102	24.2572	0.291354	0.399197	0.0246318	
1.23304	-367.612	556.985	-23.5091	24.355	0.418031	0.611987	0.0248961	
1.23804	-367.538	556.842	-23.72	24.4528	0.283221	0.384478	0.0242907	
1.24303	-367.788	557.037	-23.4215	24.5506	0.418944	0.613726	0.0247199	
1.24802	-367.864	557.174	-23.2106	24.6484	0.275752	0.372831	0.0239436	
1.25301	-367.608	556.986	-23.5027	24.7462	0.418155	0.613361	0.0245178	
1.258	-367.534	556.847	-23.7031	24.844	0.271152	0.364963	0.0236731	
1.263	-367.791	557.023	-23.4127	24.9419	0.416713	0.610604	0.0241958	
1.26799	-367.868	557.17	-23.2134	25.0397	0.267911	0.360367	0.0241532	
1.27298	-367.612	556.997	-23.5032	25.1375	0.413393	0.605933	0.0238659	
1.27797	-367.532	556.847	-23.7148	25.2353	0.266136	0.360396	0.0223115	
1.28296	-367.79	557.026	-23.4309	25.3331	0.409346	0.600571	0.0251436	
1.28796	-367.866	557.184	-23.2155	25.4309	0.267927	0.361974	0.0238311	
1.29295	-367.613	557.007	-23.5043	25.5287	0.403484	0.591579	0.024008	
1.29794	-367.542	556.852	-23.7106	25.6265	0.270754	0.367871	0.0231168	
1.30293	-367.799	557.031	-23.4191	25.7243	0.396874	0.581064	0.0235122	
1.30792	-367.869	557.177	-23.2151	25.8222	0.275236	0.376118	0.0233687	
1.31292	-367.612	556.996	-23.5082	25.92	0.389175	0.56891	0.0234877	
1.31791	-367.546	556.852	-23.7214	26.0178	0.280589	0.387221	0.0230453	
1.3229	-367.795	557.034	-23.4299	26.1156	0.380317	0.554975	0.0233827	
1.32789	-367.866	557.178	-23.2167	26.2134	0.287411	0.399232	0.0227156	
1.33289	-367.622	556.997	-23.5034	26.3112	0.37078	0.539709	0.0232601	
1.33788	-367.545	556.846	-23.7105	26.409	0.294985	0.412629	0.0226698	
1.34287	-367.792	557.024	-23.4219	26.5068	0.360508	0.523235	0.0229281	
1.34786	-367.866	557.174	-23.2074	26.6046	0.302521	0.426584	0.0224011	
1.35285	-367.608	557.003	-23.4979	26.7025	0.34943	0.505412	0.0227292	
1.35785	-367.535	556.854	-23.7218	26.8003	0.310789	0.440849	0.0224724	
