Scan started at 10:05:42 07/10/2014
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.274564	-365.668	558.446	-23.3728	5.57524	1.20128	1.84036	0.0464427	0.274564	1.69495	1.75208	305.756	5.57524	0.00187941	0.00188412	0.442489	
0.279556	-365.632	558.418	-23.4083	5.67305	1.38943	2.20321	0.0426014	0.279556	2.3584	2.48718	305.721	5.67305	0.00231323	0.00215822	0.641004	
0.284549	-365.441	558.218	-23.6334	5.77086	1.17997	1.82647	0.042517	0.284549	-2.10815	-1.98846	305.687	5.77086	0.00203826	0.0020782	0.466006	
0.289541	-365.469	558.239	-23.6084	5.86867	1.31786	2.08171	0.042225	0.289541	-2.81598	-2.76575	305.734	5.86867	0.00263203	0.00267048	0.598344	
0.294533	-365.665	558.445	-23.38	5.96648	1.18627	1.84338	0.0412584	0.294533	1.62592	1.68066	305.763	5.96648	0.00201644	0.00206342	0.480385	
0.299525	-365.648	558.434	-23.3972	6.06429	1.23801	1.94345	0.0395601	0.299525	2.36322	2.49896	305.712	6.06429	0.00220295	0.00221266	0.547585	
0.304517	-365.446	558.237	-23.625	6.1621	1.1719	1.84116	0.0403795	0.304517	-2.07092	-1.94055	305.683	6.1621	0.00220676	0.00217432	0.499479	
0.309509	-365.451	558.249	-23.6116	6.25992	1.17788	1.84526	0.0397662	0.309509	-2.87921	-2.83112	305.725	6.25992	0.00253699	0.00255431	0.505079	
0.314501	-365.65	558.44	-23.3903	6.35773	1.15875	1.82398	0.0382422	0.314501	1.54199	1.60156	305.756	6.35773	0.00228323	0.00219854	0.511539	
0.319493	-365.65	558.424	-23.3914	6.45554	1.11775	1.73717	0.0397225	0.319493	2.42438	2.5575	305.72	6.45554	0.00261174	0.00243558	0.459303	
0.324485	-365.456	558.226	-23.6123	6.55335	1.16077	1.83211	0.0378187	0.324485	-1.97064	-1.84985	305.694	6.55335	0.00241924	0.00227375	0.521574	
0.329477	-365.457	558.238	-23.6174	6.65116	1.04131	1.62205	0.0366158	0.329477	-2.86658	-2.81744	305.733	6.65116	0.00257066	0.00236396	0.416586	
0.334469	-365.66	558.446	-23.3951	6.74897	1.14172	1.81638	0.0356018	0.334469	1.54877	1.60254	305.761	6.74897	0.0027428	0.00275579	0.530359	
0.339461	-365.663	558.436	-23.3907	6.84678	1.01061	1.54432	0.0388844	0.339461	2.49854	2.6283	305.708	6.84678	0.0031949	0.00301962	0.375464	
0.344454	-365.451	558.224	-23.6161	6.94459	1.13708	1.81414	0.0357128	0.344454	-1.88788	-1.75806	305.673	6.94459	0.00228953	0.00229953	0.53676	
0.349446	-365.44	558.231	-23.6301	7.04241	0.941687	1.43236	0.034701	0.349446	-2.87158	-2.81848	305.73	7.04241	0.00220866	0.0022327	0.337422	
0.354438	-365.651	558.44	-23.3991	7.14022	1.1253	1.81083	0.0329295	0.354438	1.49976	1.55688	305.759	7.14022	0.0025571	0.00242784	0.539515	
0.35943	-365.673	558.441	-23.3765	7.23803	0.899126	1.34663	0.0372258	0.35943	2.55267	2.6875	305.712	7.23803	0.00256043	0.0024487	0.300336	
0.364422	-365.461	558.234	-23.6039	7.33584	1.1161	1.79548	0.0324273	0.364422	-1.80194	-1.67053	305.687	7.33584	0.00248789	0.00255198	0.538824	
0.369414	-365.428	558.241	-23.6299	7.43365	0.851641	1.2712	0.0335573	0.369414	-2.90588	-2.85156	305.731	7.43365	0.00201768	0.00202978	0.266597	
0.374406	-365.636	558.45	-23.4013	7.53146	1.0985	1.7692	0.0313438	0.374406	1.44403	1.50397	305.761	7.53146	0.00230309	0.00231633	0.538046	
0.379398	-365.67	558.446	-23.3699	7.62927	0.808935	1.21174	0.03371	0.379398	2.59314	2.72797	305.72	7.62927	0.00238707	0.00248118	0.239277	
0.38439	-365.461	558.238	-23.6053	7.72708	1.0829	1.74014	0.0306268	0.38439	-1.74615	-1.61548	305.685	7.72708	0.00214385	0.00210776	0.533984	
0.389382	-365.425	558.23	-23.6428	7.82489	0.788624	1.15935	0.032409	0.389382	-2.94385	-2.89166	305.729	7.82489	0.00196887	0.00198548	0.213337	
0.394374	-365.639	558.429	-23.4106	7.92271	1.06238	1.71943	0.0292063	0.394374	1.38068	1.43353	305.766	7.92271	0.00223747	0.00214096	0.527586	
0.399366	-365.685	558.441	-23.3646	8.02052	0.743881	1.09717	0.0334862	0.399366	2.63776	2.76892	305.715	8.02052	0.00215982	0.00202236	0.194953	
0.404358	-365.476	558.243	-23.5866	8.11833	1.04546	1.68991	0.0280463	0.404358	-1.67151	-1.53955	305.684	8.11833	0.00221566	0.00221649	0.518563	
0.409351	-365.42	558.238	-23.64	8.21614	0.73615	1.07128	0.0324551	0.409351	-2.97418	-2.91272	305.731	8.21614	0.00203217	0.00205882	0.179578	
0.414343	-365.624	558.44	-23.4106	8.31395	1.02475	1.65535	0.0274001	0.414343	1.32288	1.38861	305.759	8.31395	0.00239801	0.00235778	0.508734	
0.419335	-365.684	558.446	-23.3539	8.41176	0.702723	1.03454	0.0308159	0.419335	2.6662	2.80054	305.715	8.41176	0.0019663	0.00205088	0.176996	
0.424327	-365.468	558.248	-23.5921	8.50957	1.00286	1.61695	0.0284218	0.424327	-1.61945	-1.48969	305.687	8.50957	0.00222935	0.00212661	0.495601	
0.429319	-365.408	558.231	-23.6512	8.60738	0.698362	1.02404	0.0282643	0.429319	-3.00995	-2.95477	305.731	8.60738	0.00201101	0.00192887	0.178118	
0.434311	-365.631	558.425	-23.4193	8.7052	0.973732	1.57046	0.0275557	0.434311	1.2597	1.31226	305.764	8.7052	0.00228613	0.00223891	0.482156	
0.439303	-365.696	558.448	-23.3506	8.80301	0.688996	1.01699	0.0302253	0.439303	2.69769	2.82751	305.723	8.80301	0.00212231	0.0021211	0.183487	
0.444295	-365.477	558.251	-23.5762	8.90082	0.947926	1.52688	0.0261557	0.444295	-1.55743	-1.42249	305.687	8.90082	0.00228843	0.00229283	0.465162	
0.449287	-365.405	558.234	-23.6495	8.99863	0.682306	1.01058	0.0290132	0.449287	-3.05225	-2.99005	305.727	8.99863	0.00184777	0.00189665	0.197956	
0.454279	-365.626	558.44	-23.4258	9.09644	0.918224	1.47833	0.0253651	0.454279	1.18518	1.24017	305.767	9.09644	0.00236508	0.00224212	0.449305	
0.459271	-365.695	558.456	-23.348	9.19425	0.680168	1.01569	0.0294614	0.459271	2.73175	2.85748	305.727	9.19425	0.00199118	0.00198999	0.209389	
0.464263	-365.468	558.251	-23.574	9.29206	0.888124	1.42635	0.0249789	0.464263	-1.49799	-1.3645	305.68	9.29206	0.00238834	0.00238224	0.429552	
0.469256	-365.397	558.225	-23.6598	9.38987	0.686035	1.03279	0.0265949	0.469256	-3.08057	-3.02466	305.724	9.38987	0.00202366	0.00201364	0.225942	
0.474248	-365.626	558.422	-23.4274	9.48768	0.854538	1.36724	0.0255496	0.474248	1.12329	1.17834	305.757	9.48768	0.00245542	0.00238991	0.410136	
0.47924	-365.71	558.449	-23.333	9.5855	0.684915	1.04373	0.0262608	0.47924	2.76001	2.89154	305.724	9.5855	0.00190778	0.00194485	0.242057	
0.484232	-365.481	558.252	-23.564	9.68331	0.824943	1.31825	0.0248063	0.484232	-1.43341	-1.29828	305.693	9.68331	0.00239457	0.00232921	0.389748	
0.489224	-365.393	558.23	-23.6628	9.78112	0.689159	1.05477	0.0264491	0.489224	-3.12769	-3.07025	305.729	9.78112	0.00221143	0.00207608	0.257801	
0.494216	-365.622	558.435	-23.4298	9.87893	0.795725	1.26385	0.0239431	0.494216	1.06262	1.10584	305.77	9.87893	0.00245588	0.00246612	0.368087	
0.499208	-365.718	558.467	-23.3287	9.97674	0.695228	1.07161	0.0248635	0.499208	2.79639	2.91614	305.725	9.97674	0.00211507	0.00221886	0.272057	
0.5042	-365.487	558.26	-23.5739	10.0746	0.762542	1.20851	0.0243566	0.5042	-1.37408	-1.2453	305.69	10.0746	0.00219718	0.0021525	0.345378	
0.509192	-365.388	558.221	-23.6807	10.1724	0.698124	1.08541	0.0244646	0.509192	-3.16199	-3.09705	305.728	10.1724	0.00206587	0.00212522	0.288077	
0.514184	-365.623	558.422	-23.4367	10.2702	0.733237	1.15393	0.0244149	0.514184	0.98938	1.04828	305.763	10.2702	0.00254143	0.0025689	0.323084	
0.519176	-365.724	558.456	-23.3254	10.368	0.703183	1.10015	0.0247913	0.519176	2.82153	2.94171	305.728	10.368	0.0023492	0.00235991	0.298975	
0.524168	-365.489	558.258	-23.5635	10.4658	0.703676	1.09918	0.0225932	0.524168	-1.31714	-1.19501	305.696	10.4658	0.00276429	0.00271302	0.299715	
0.52916	-365.379	558.224	-23.6772	10.5636	0.706329	1.11274	0.0241133	0.52916	-3.18958	-3.14038	305.728	10.5636	0.00233715	0.0023571	0.311212	
0.534153	-365.612	558.428	-23.4353	10.6614	0.671888	1.04407	0.0234811	0.534153	0.92627	0.973816	305.755	10.6614	0.00215656	0.00228747	0.276866	
0.539145	-365.724	558.472	-23.3253	10.7592	0.710516	1.12545	0.0223639	0.539145	2.84326	2.96405	305.72	10.7592	0.00211918	0.00200353	0.321936	
0.544137	-365.485	558.271	-23.5752	10.857	0.641096	0.989429	0.0228173	0.544137	-1.25934	-1.12299	305.691	10.857	0.00238898	0.0024032	0.253585	
0.549129	-365.374	558.228	-23.6805	10.9549	0.714911	1.13649	0.0226663	0.549129	-3.20923	-3.14423	305.722	10.9549	0.00216402	0.00233026	0.329555	
0.554121	-365.616	558.426	-23.4256	11.0527	0.61303	0.939874	0.0225956	0.554121	0.879028	0.931152	305.763	11.0527	0.00214683	0.00211766	0.23103	
0.559113	-365.732	558.466	-23.3087	11.1505	0.716958	1.14324	0.021746	0.559113	2.86224	2.99573	305.729	11.1505	0.00215132	0.00224269	0.337026	
0.564105	-365.493	558.266	-23.5557	11.2483	0.587686	0.891459	0.0227262	0.564105	-1.21179	-1.06769	305.685	11.2483	0.00234381	0.00233113	0.2086	
0.569097	-365.374	558.224	-23.6877	11.3461	0.714937	1.14666	0.0206681	0.569097	-3.24847	-3.18475	305.722	11.3461	0.00215234	0.0020391	0.343157	
0.574089	-365.618	558.429	-23.4487	11.4439	0.563074	0.848767	0.0223509	0.574089	0.809265	0.855774	305.755	11.4439	0.00233958	0.00231734	0.188644	
0.579081	-365.742	558.481	-23.3209	11.5417	0.714894	1.14693	0.0208877	0.579081	2.89594	3.01917	305.716	11.5417	0.00235544	0.00221473	0.345188	
0.584073	-365.495	558.279	-23.5654	11.6395	0.541579	0.810484	0.0220955	0.584073	-1.1391	-1.00189	305.688	11.6395	0.00207666	0.00207972	0.168803	
0.589065	-365.37	558.224	-23.6934	11.7373	0.711304	1.1439	0.0195123	0.589065	-3.26563	-3.19476	305.726	11.7373	0.00230095	0.00228847	0.348005	
0.594058	-365.612	558.417	-23.4439	11.8352	0.52362	0.777433	0.0219414	0.594058	0.751099	0.807129	305.755	11.8352	0.00216191	0.00213205	0.151304	
0.59905	-365.744	558.466	-23.3088	11.933	0.705376	1.13821	0.020154	0.59905	2.91034	3.03375	305.728	11.933	0.002179	0.0023631	0.348325	
0.604042	-365.501	558.267	-23.5604	12.0308	0.507015	0.745976	0.0215216	0.604042	-1.09222	-0.951599	305.688	12.0308	0.00218422	0.00213851	0.137909	
0.609034	-365.363	558.218	-23.706	12.1286	0.701421	1.13198	0.0192208	0.609034	-3.29816	-3.23187	305.711	12.1286	0.00243024	0.00234944	0.345613	
0.614026	-365.608	558.419	-23.4492	12.2264	0.492968	0.722569	0.0208496	0.614026	0.684937	0.740784	305.753	12.2264	0.00218018	0.00210734	0.126428	
0.619018	-365.741	558.472	-23.2919	12.3242	0.690907	1.11766	0.0193249	0.619018	2.94098	3.07013	305.725	12.3242	0.00229505	0.00231681	0.343301	
0.62401	-365.485	558.27	-23.5484	12.422	0.482492	0.706324	0.021155	0.62401	-1.02185	-0.885193	305.696	12.422	0.0021872	0.00221175	0.119763	
0.629002	-365.353	558.212	-23.7064	12.5198	0.68312	1.10331	0.0184818	0.629002	-3.31567	-3.25201	305.726	12.5198	0.00246893	0.00244162	0.339191	
0.633994	-365.611	558.409	-23.4516	12.6176	0.474509	0.694646	0.0205346	0.633994	0.631714	0.684082	305.76	12.6176	0.00209463	0.00202758	0.118489	
0.638986	-365.751	558.469	-23.2997	12.7155	0.670965	1.08385	0.0190053	0.638986	2.96356	3.0835	305.737	12.7155	0.00241204	0.00245196	0.33185	
0.643978	-365.496	558.274	-23.5531	12.8133	0.470532	0.690783	0.0198131	0.643978	-0.958435	-0.825256	305.695	12.8133	0.00217031	0.00215941	0.120874	
0.64897	-365.354	558.213	-23.7073	12.9111	0.657516	1.06203	0.0182959	0.64897	-3.32898	-3.26068	305.721	12.9111	0.00253215	0.00240653	0.325402	
0.653962	-365.604	558.419	-23.4518	13.0089	0.469109	0.691553	0.0199233	0.653962	0.560425	0.616943	305.763	13.0089	0.00207421	0.0020874	0.127302	
0.658955	-365.75	558.484	-23.2919	13.1067	0.645011	1.03856	0.017759	0.658955	2.96893	3.09668	305.737	13.1067	0.0025464	0.00247228	0.316407	
0.663947	-365.505	558.279	-23.5526	13.2045	0.4685	0.696121	0.0194821	0.663947	-0.912354	-0.773682	305.696	13.2045	0.00224714	0.00211959	0.136284	
0.668939	-365.355	558.217	-23.7227	13.3023	0.628593	1.01132	0.01793	0.668939	-3.34265	-3.28571	305.716	13.3023	0.00260448	0.00253722	0.306436	
0.673931	-365.605	558.417	-23.4618	13.4001	0.472188	0.705548	0.0195235	0.673931	0.532166	0.575684	305.762	13.4001	0.00215803	0.00214505	0.147361	
0.678923	-365.75	558.473	-23.2872	13.4979	0.611972	0.983217	0.0170124	0.678923	2.99036	3.10407	305.731	13.4979	0.00245218	0.00244567	0.297169	
0.683915	-365.491	558.274	-23.5522	13.5958	0.476293	0.715861	0.0187662	0.683915	-0.859436	-0.727783	305.686	13.5958	0.00227767	0.00217607	0.158501	
0.688907	-365.342	558.209	-23.7177	13.6936	0.595133	0.95274	0.0182901	0.688907	-3.35803	-3.29211	305.721	13.6936	0.00232726	0.00243644	0.283406	
0.693899	-365.6	558.408	-23.4528	13.7914	0.479721	0.729558	0.0181179	0.693899	0.465332	0.508179	305.763	13.7914	0.00205423	0.00203872	0.171652	
0.698891	-365.754	558.485	-23.2827	13.8892	0.576581	0.92102	0.0172069	0.698891	3.00696	3.12305	305.735	13.8892	0.00246376	0.0023231	0.272219	
0.703883	-365.493	558.282	-23.5513	13.987	0.48617	0.743843	0.0180182	0.703883	-0.794922	-0.661316	305.696	13.987	0.0023309	0.00234236	0.182646	
0.708875	-365.341	558.202	-23.7322	14.0848	0.559103	0.887749	0.017303	0.708875	-3.37323	-3.31201	305.715	14.0848	0.00257128	0.00250291	0.256359	
0.713867	-365.607	558.401	-23.4673	14.1826	0.4915	0.759002	0.0186341	0.713867	0.412659	0.458618	305.752	14.1826	0.00213531	0.00203937	0.195556	
0.71886	-365.76	558.478	-23.2853	14.2804	0.538769	0.852309	0.0163474	0.71886	3.01825	3.13104	305.734	14.2804	0.00257269	0.00239455	0.243319	
0.723852	-365.495	558.285	-23.5455	14.3782	0.498397	0.775732	0.0173485	0.723852	-0.737549	-0.609497	305.695	14.3782	0.00223571	0.00230468	0.206002	
0.728844	-365.343	558.207	-23.7294	14.4761	0.519855	0.817666	0.0174737	0.728844	-3.36609	-3.30011	305.716	14.4761	0.0024327	0.00244769	0.228013	
0.733836	-365.61	558.411	-23.4666	14.5739	0.504737	0.790482	0.016983	0.733836	0.356323	0.409302	305.756	14.5739	0.00222878	0.00219724	0.216282	
0.738828	-365.761	558.493	-23.2781	14.6717	0.500346	0.782124	0.0170417	0.738828	3.01996	3.14752	305.73	14.6717	0.00249603	0.00237604	0.212372	
0.74382	-365.487	558.281	-23.5428	14.7695	0.510546	0.80462	0.016342	0.74382	-0.681091	-0.530701	305.682	14.7695	0.00217691	0.00228771	0.226071	
0.748812	-365.332	558.198	-23.7367	14.8673	0.481353	0.747071	0.0170765	0.748812	-3.37946	-3.30682	305.705	14.8673	0.00244312	0.0023274	0.197896	
0.753804	-365.61	558.409	-23.4653	14.9651	0.515915	0.816839	0.0158678	0.753804	0.31189	0.356445	305.755	14.9651	0.00220086	0.00217017	0.23372	
0.758796	-365.769	558.498	-23.2755	15.0629	0.463028	0.71352	0.0171982	0.758796	3.03955	3.15619	305.741	15.0629	0.00237842	0.0024461	0.1811	
0.763788	-365.497	558.291	-23.5425	15.1607	0.519664	0.827049	0.0161466	0.763788	-0.624695	-0.482117	305.701	15.1607	0.002362	0.0023538	0.241369	
0.76878	-365.336	558.2	-23.727	15.2585	0.444245	0.681092	0.015861	0.76878	-3.38367	-3.31433	305.718	15.2585	0.00226208	0.00222507	0.165729	
0.773772	-365.609	558.403	-23.4656	15.3564	0.52499	0.835845	0.015782	0.773772	0.236206	0.281738	305.757	15.3564	0.0024348	0.00237635	0.247041	
0.778764	-365.766	558.499	-23.2793	15.4542	0.427702	0.64943	0.0172684	0.778764	3.03033	3.14185	305.739	15.4542	0.00262292	0.0025541	0.150505	
0.783757	-365.489	558.295	-23.5496	15.552	0.526074	0.84316	0.0152154	0.783757	-0.572022	-0.433594	305.686	15.552	0.00239534	0.00236446	0.251906	
0.788749	-365.337	558.191	-23.746	15.6498	0.4129	0.620195	0.0160123	0.788749	-3.40088	-3.31696	305.707	15.6498	0.00234547	0.00232179	0.135655	
